res_id,month,inflow_mean,release_mean,storage_mean,storage_pre_mean,release_pre_mean,net_inflow_mean,storage_roll7_mean,release_roll7_mean,inflow_roll7_mean,storage_x_inflow_mean,release_pre2_mean,inflow2_mean,sto_diff_mean,inflow_std,release_std,storage_std,storage_pre_std,release_pre_std,net_inflow_std,storage_roll7_std,release_roll7_std,inflow_roll7_std,storage_x_inflow_std,release_pre2_std,inflow2_std,sto_diff_std
1824,11.0,115487374.63689765,115817981.7798347,958909331.2139351,959239938.3568722,114055327.0974698,115487374.63689765,961666529.0243285,111060269.62368545,111285783.95695938,1.123514860508559e+17,1.693742028123307e+16,1.7673907763129252e+16,-2426590.6674561747,65894923.24850617,63613748.172200955,52082877.06774702,50316500.12489587,62720379.73636537,65894923.24850617,43558450.47115123,54039147.51137441,55657608.61895818,7.007439242147882e+16,1.8535148090301456e+16,2.0796979302706736e+16,25989619.70044222
1824,12.0,202894878.56976807,202820270.26858887,972672738.881365,972598130.5801858,200971435.95106125,202894878.56976807,970917819.1879815,192041502.71749136,195536588.5211703,2.083246915162065e+17,6.4939256116781624e+16,6.615107453002146e+16,1680311.3922042681,158163775.01733315,158239259.13336593,90197082.1056687,90327689.6657481,156780849.01401225,158163775.01733315,78565738.48673727,138419363.20815912,140333101.10151646,1.978673123274455e+17,1.2731772672582574e+17,1.2827070053138266e+17,53033633.16076117
505,1.0,85735.39612903226,87480.55741935484,10230416.129032258,10232161.290322581,86944.59870967742,85735.39612903226,10230660.368663594,85972.53898617512,86689.94359447005,875262990343.2258,11224936578.147097,26808772093.233547,1500.9216589861699,139718.23613971344,61592.0824703618,1459928.033114967,1474759.4899471817,60641.866975151526,139718.23613971344,1513378.957331011,55438.489968668575,130505.08305055219,1435021723384.947,14953722653.801926,50229147004.693565,328095.5479125084
505,2.0,21676.650803858523,89158.96591639871,8905623.794212218,8973106.109324759,89724.87202572347,21676.650803858523,9184040.881947635,89832.3461644465,19875.88865411117,225632202742.1222,14456334488.51344,11258164945.467266,-210934.77262287552,104034.07462768177,79474.32774821993,1584311.7656938229,1599881.6987498857,80165.11486195805,104034.07462768177,1634146.89352585,79721.0905371571,82606.0776029794,1036729335074.4387,22279015956.957607,63173277879.62478,203208.22950877587
505,3.0,87412.85161290322,74052.1478005865,8225533.724340176,8212173.020527859,73758.2357771261,87412.85161290322,8181159.195643067,74728.7969836615,84108.59086719733,703941196584.1642,8619542245.904516,27162441908.52129,31013.82488479262,139924.44842679802,56488.47137698074,1739660.9379434779,1740633.8355287751,56467.828717516975,139924.44842679802,1706514.019348118,54550.83224402796,130101.1193700077,1215108441831.81,10423636494.343618,64061488933.947075,357728.0508035675
505,4.0,117108.71272727274,100817.80363636363,8581093.93939394,8564803.030303031,100046.22545454545,117108.71272727274,8532152.38095238,95769.01402597403,107784.77852813854,1037511510526.0605,18568591715.886547,35885540002.90909,32650.64935064932,149125.71453566465,93664.53195972463,1290677.6030593954,1274153.999315839,92657.22169820199,149125.71453566465,1250591.19112045,78789.9388218727,136053.58911509044,1380112121736.9463,36900192843.081215,64020216272.9473,340160.17433606356
505,5.0,243330.58348623852,178321.4091743119,10345538.226299694,10280529.051987767,172882.17247706422,243330.58348623852,10082808.213193534,159737.25609436436,230086.89488859766,2480447826661.774,49628382683.07963,102397444064.90422,197720.83879423334,208134.92913056456,142426.78844391907,1862947.166456059,1864497.3051309327,140714.92348202187,208134.92913056456,1828886.6298167913,123561.17901676589,179603.23905827847,2181448734803.0024,65033008636.27933,127300642674.90659,476792.85947318666
505,6.0,364264.93333333335,331941.6,12359463.333333334,12327140.0,326795.90400000004,364264.93333333335,12203517.142857144,312838.56,359370.0464761905,4470688810234.667,149568338084.65918,180001212123.53705,123622.85714285697,217877.27161290657,210254.80029510424,509676.08769700205,548367.9529044116,207161.35733623986,217877.27161290657,643353.0317945305,182789.96033956337,188678.72553647778,2669218129213.8345,144929499933.1341,157646375616.54276,254415.25138346068
505,7.0,358207.1380645161,393636.1703225806,12092451.612903226,12127880.64516129,397598.02838709677,358207.1380645161,12219546.543778803,400168.48811059905,369013.2851612903,4448766505600.0,202937446476.73395,196840529322.8676,-91665.89861751154,262202.1159209873,210779.5907196496,1247938.4096781958,1190940.710259052,212128.2877463745,262202.1159209873,1024724.5893522239,197469.2606428151,236696.59114190112,3113270692424.985,153312995665.69382,156344612767.12338,343303.4777242249
505,8.0,237382.97806451615,284705.5587096774,10714590.322580645,10761912.903225806,284665.7032258065,237382.97806451615,10918751.152073732,292357.89124423964,237516.09880184333,2758550157708.387,110566818219.43742,105332458508.00723,-156838.24884792624,221676.10904507074,172276.83308804518,2350085.5682080127,2328199.4881167877,172127.3635108561,221676.10904507074,2236266.6122276033,166431.79011653422,203977.04332744656,2476174373307.6636,110272247167.88211,130776436565.1799,317636.69713627046
